	index	deck	block	section_num	normalized_price
0	0	1	1	101	60.84959120657364
1	1	1	2	102	71.34277723450424
2	2	1	3	103	58.79119825482442
3	3	1	4	104	71.5469351566663
4	4	1	5	105	83.50286804808584
5	5	1	6	106	83.87030443881272
6	6	1	7	107	111.9794314959221
7	7	1	8	108	114.58687552763986
8	8	1	9	109	106.36740238283159
9	9	1	10	110	117.47597698073739
10	10	1	12	112	124.28553854403606
11	11	1	13	113	141.48486406341254
12	12	1	14	114	94.37814669229046
13	13	1	15	115	149.2979737129352
14	14	1	16	116	105.19703705295483
15	15	1	17	117	149.86855228509324
16	16	1	18	118	102.97459203984768
17	17	1	19	119	117.40177645282847
18	18	1	21	121	118.7076150103229
19	19	1	22	122	156.00113444641502
20	20	1	23	123	166.06232618135428
21	21	1	24	124	137.83892041485163
22	22	1	25	125	104.70118495762102
23	23	1	26	126	89.16659069227471
24	24	1	27	127	90.60384563224943
25	25	1	28	128	74.74150378451668
26	26	1	29	129	68.43182658313015
27	27	1	30	130	60.45058610487573
28	28	1	31	131	47.73943062368377
29	29	1	32	132	37.09953190631995
30	30	1	33	133	38.66597989883909
31	31	1	34	134	37.98321199195371
32	32	1	35	135	39.418600475951955
33	33	1	36	136	39.0127730571386
34	34	1	37	137	40.875252156300384
35	35	1	38	138	40.079467872456924
36	36	1	39	139	36.69916855939816
37	37	1	40	140	33.03305577946917
38	38	1	41	141	31.112536049698264
39	39	1	42	142	28.190878872814963
40	40	1	43	143	44.09681043393437
41	41	1	44	144	42.432448778036395
42	42	1	45	145	45.54003571775274
43	43	1	46	146	44.484588610118934
44	44	1	47	147	41.50671873743284
45	45	1	48	148	57.002757138583185
46	46	1	49	149	75.68913550203037
47	47	1	50	150	54.51180072489795
48	48	1	51	151	42.38847664831691
49	49	1	52	152	36.14375215371563
50	50	3	2	302	28.87324488276553
51	51	3	4	304	25.690941911440323
52	52	3	5	305	25.241768800794894
53	53	3	7	307	63.945459366953756
54	54	3	8	308	43.27425681175172
55	55	3	10	310	41.595773269402116
56	56	3	11	311	33.12150712634454
57	57	3	12	312	35.27258002799153
58	58	3	13	313	35.04609359840906
59	59	3	14	314	34.6066070361765
60	60	3	15	315	44.29989006850049
61	61	3	17	317	49.660396776835185
62	62	3	18	318	41.3260423184321
63	63	3	19	319	37.56125664288073
64	64	3	20	320	40.196362019961036
65	65	3	21	321	39.45086729097064
66	66	3	23	323	32.17438416656842
67	67	3	24	324	39.465122452501
68	68	3	25	325	53.37982490510447
69	69	3	26	326	34.75004504678092
70	70	3	27	327	34.865966721329265
71	71	3	28	328	28.3361034684379
72	72	3	30	330	41.03707094509765
73	73	3	31	331	37.15154998876557
74	74	3	32	332	33.3302574231886
75	75	3	33	333	36.92317328632799
76	76	3	34	334	41.44850855594026
77	77	3	35	335	31.243184171733798
78	78	3	36	336	75.49615552499901
